"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","left_right_width","initial",45,4,4,0.605015100038145,0.9,0.25,0.25,0.45,1.1396051000338,2.95,"exp2",0,5.55111512312578e-17,0,1,1,1,2.22044604925031e-16,2.22044604925031e-16,5.55111512312578e-17
"p301","left_right_width","initial",46,4,4,0.552993400022388,1.1,0.55,0.25,0.2,1.50596620002761,3.85,"exp2",0,-0.3,0,0.454545454545455,2.2,1,-1.2,-0.545454545454546,0.3
"p301","left_right_width","match",47,3,2,1.08940990001429,1.4,0.55,0.45,0.45,1.38196110003628,3.35,"exp2",-1,-0.1,-0.333333333333333,0.818181818181818,1.65,0.9,-0.75,-0.181818181818182,0.1
"p301","left_right_width","initial",48,5,4,0.993519200012088,1.1,0.4,0.4,0.35,1.17722719995072,4.8,"exp2",-1,-5.55111512312578e-17,-0.2,1,2,1.6,-0.4,-1.38777878078145e-16,5.55111512312578e-17
"p301","left_right_width","match",49,4,3,0.755593499983661,0.783333333333333,0.25,0.3,0.25,1.0436522999662,2.6,"exp2",-1,0.05,-0.25,1.2,1,0.9,-0.1,0.2,0.05
"p301","left_right_width","match",50,4,4,0.711239299969748,0.733333333333333,0.55,0.3,0.2,1.5142182999989,2.75,"exp2",0,-0.25,0,0.545454545454545,2.2,1.2,-1,-0.454545454545455,0.25
"p301","left_right_width","match",51,5,4,0.742597099975683,0.675,0.25,0.2,0.2,1.17593580001267,2.95,"exp2",-1,-0.05,-0.2,0.8,1.25,0.8,-0.45,-0.2,0.05
"p301","left_right_width","initial",52,3,2,1.01788920001127,1.1,0.4,0.3,0.25,1.23185600002762,2.6,"exp2",-1,-0.1,-0.333333333333333,0.75,1.2,0.6,-0.6,-0.25,0.1
"p301","left_right_width","initial",1,5,4,0.804897899972275,1.1,0.55,0.35,0.45,1.21929339994676,4.95,"exp2",-1,-0.2,-0.2,0.636363636363636,2.75,1.4,-1.35,-0.363636363636364,0.2
"p301","left_right_width","initial",2,5,4,0.860096600023098,1.1,0.25,0.3,0.25,1.09690319997026,4.65,"exp2",-1,0.05,-0.2,1.2,1.25,1.2,-0.05,0.2,0.05
