"contrast","correct_num","correct_width","estimate","SE","df","z.ratio","p.value"
"NoRM - RM","3","0.1",-0.0305152481378906,0.00689472608617198,Inf,-4.42588258859069,9.60487586579972e-06
"NoRM - RM","4","0.1",-0.0253068967715358,0.00644156645313211,Inf,-3.92868674966951,8.54110096529979e-05
"NoRM - RM","5","0.1",-0.0127919496273688,0.00660568308350961,Inf,-1.93650671181949,0.0528056713122565
"NoRM - RM","3","0.25",-0.0369415132632809,0.00721567294678538,Inf,-5.11962134865585,3.06149723888881e-07
"NoRM - RM","4","0.25",-0.0163874096072485,0.00703582660913866,Inf,-2.32913778545414,0.0198517675184802
"NoRM - RM","5","0.25",-0.0277651877306668,0.00629551253870638,Inf,-4.41031410230057,1.03220785563496e-05
"NoRM - RM","3","0.4",-0.0267928223536457,0.007454933755569,Inf,-3.59397188923789,0.000325674989634637
"NoRM - RM","4","0.4",-0.0221739710586397,0.007401301027135,Inf,-2.99595584308008,0.00273586047895316
"NoRM - RM","5","0.4",-0.0317262479868813,0.00750018226175145,Inf,-4.23006360107742,2.33625249813479e-05
