"contrast","spacing_category","correct_width","estimate","SE","df","z.ratio","p.value"
"NoRM - RM","Smaller","0.25",-0.0135057849614076,0.00934403161317472,Inf,-1.44539161686536,0.148347916784569
"NoRM - RM","Middle","0.25",-0.0110278467516889,0.0094805686687914,Inf,-1.16320519759442,0.24474625824292
"NoRM - RM","Larger","0.25",-0.0170287554269642,0.0106977832910795,Inf,-1.59180224198072,0.111429146252056
"NoRM - RM","Smaller","0.4",-0.0476957243439574,0.00958360598520999,Inf,-4.97680355573512,6.46428667279626e-07
"NoRM - RM","Middle","0.4",-0.0349535973911557,0.0132982386777434,Inf,-2.62843811411325,0.00857779615603896
"NoRM - RM","Larger","0.4",-0.0407309649169901,0.0114165192831055,Inf,-3.56772181668935,0.000360098507429337
"NoRM - RM","Smaller","0.55",-0.106111102550318,0.0100378304725083,Inf,-10.5711192115603,4.05624599176061e-26
"NoRM - RM","Middle","0.55",-0.060215721535363,0.00975480975040615,Inf,-6.17292628724572,6.70374716596103e-10
"NoRM - RM","Larger","0.55",-0.0186917735148181,0.0110655676484797,Inf,-1.68918342995139,0.0911842834174271
