"contrast","correct_num","correct_width","estimate","SE","df","z.ratio","p.value"
"NoRM - RM","3","0.25",-0.0155963122937133,0.0111474018997533,Inf,-1.39909841180647,0.161783473923893
"NoRM - RM","4","0.25",-0.013263123146897,0.0096552533064509,Inf,-1.37366910281221,0.169544433122922
"NoRM - RM","5","0.25",-0.0127029516994505,0.00873928544253808,Inf,-1.45354580565814,0.146072271434463
"NoRM - RM","3","0.4",-0.0704701004329865,0.012088871995625,Inf,-5.82933630685226,5.56482536426915e-09
"NoRM - RM","4","0.4",-0.0333907488819671,0.0123225993792466,Inf,-2.70971633941155,0.00673407726601948
"NoRM - RM","5","0.4",-0.0195194373371497,0.0102150109797125,Inf,-1.91085818467705,0.0560228079921699
"NoRM - RM","3","0.55",-0.0970692620035065,0.0110356765783013,Inf,-8.79595023601609,1.4184244782555e-18
"NoRM - RM","4","0.55",-0.0530156099226457,0.0102973131895143,Inf,-5.14848960567997,2.62592334716916e-07
"NoRM - RM","5","0.55",-0.0349337256743467,0.00967004356338527,Inf,-3.61257169581117,0.000303175243353121
