"contrast","correct_num","correct_width","estimate","SE","df","z.ratio","p.value","p_fdr","z_statistic","effect_size","ci_lower","ci_upper","significance","effect_direction","significant_fdr"
"NoRM - RM","3","0.25",-0.0192557149422235,0.00996972845158142,Inf,-1.93141819616653,0.0534313566965336,0.0686974586098289,-1.93141819616653,-0.187244135214327,-0.0387960236429674,0.000284593758520343,"","RM < NoRM",FALSE
"NoRM - RM","3","0.4",-0.0682526307202942,0.0114041536683262,Inf,-5.9848922335954,2.16533179412984e-09,6.49599538238952e-09,-5.9848922335954,-0.663694121650129,-0.0906043611843739,-0.0459009002562144,"***","RM < NoRM",TRUE
"NoRM - RM","3","0.55",-0.101442424953416,0.0103084901957026,Inf,-9.84066754952201,7.52101277249432e-23,6.76891149524489e-22,-9.84066754952201,-0.986434375012268,-0.121646694471977,-0.0812381554348547,"***","RM < NoRM",TRUE
"NoRM - RM","4","0.25",-0.0126642504468078,0.00873372367814837,Inf,-1.45004020203817,0.14704730876014,0.14704730876014,-1.45004020203817,-0.123148199387312,-0.0297820343069033,0.00445353341328769,"","RM < NoRM",FALSE
"NoRM - RM","4","0.4",-0.044908809004187,0.0107329561704399,Inf,-4.18419755853212,2.86175161669538e-05,6.43894113756461e-05,-4.18419755853212,-0.436696904307381,-0.0659450165458963,-0.0238726014624778,"***","RM < NoRM",TRUE
"NoRM - RM","4","0.55",-0.0588156518402179,0.00953883427742646,Inf,-6.16591609935026,7.00762356559347e-10,3.15343060451706e-09,-6.16591609935026,-0.571928172957096,-0.0775114234784699,-0.0401198802019659,"***","RM < NoRM",TRUE
"NoRM - RM","5","0.25",-0.0159627904448922,0.00805997551159645,Inf,-1.98050110970256,0.0476472487753171,0.0686974586098289,-1.98050110970256,-0.155223470093405,-0.0317600521638961,-0.0001655287258884,"","RM < NoRM",FALSE
"NoRM - RM","5","0.4",-0.0161117383459537,0.00961615604435528,Inf,-1.67548636603203,0.0938388438987783,0.105568699386126,-1.67548636603203,-0.156671851574432,-0.0349590578626072,0.00273558117069976,"","RM < NoRM",FALSE
"NoRM - RM","5","0.55",-0.0350856243491925,0.0093942381064463,Inf,-3.73480254083797,0.000187862528561669,0.000338152551411004,-3.73480254083797,-0.341175459308117,-0.053497992700021,-0.016673255998364,"***","RM < NoRM",TRUE
