amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,thisRow.t,notes,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,response_width_degree,response_width_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.5818797000102,c,220.31055270001525,,,,,,,,,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,4,2.674297299992759,4,0.3,0.2,7.20859,return,5.478544800018426,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,3,0.9844542000209913,3,0.3,0.10000000000000002,3.60429,return,4.062566099979449,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,4,1.2633688999922015,4,0.5,0.45,16.21932,return,3.261201399960555,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,4,1.6236195999663323,4,0.3,0.10000000000000002,3.60429,return,4.038451500004157,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,4,1.429321000003256,4,0.35,0.25,9.01073,return,2.362503200012725,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,4,1.2778904999722727,4,0.3,0.15000000000000002,5.40644,return,3.6579006999963894,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,3,1.2518656000029296,3,0.4,0.10000000000000007,3.60429,return,4.272548299981281,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,3,1.2725753000122495,3,0.35,0.3,10.81288,return,1.732849299965892,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,4,1.1046577999950387,4,0.25,0.3,10.81288,return,2.5465599999879487,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,39.33969180000713,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.42500000000000004,0.25,2.95,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,,,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,4,0.717617699992843,4,0.25,0.15000000000000002,5.40644,return,1.2318773999577388,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.29999999999999993,0.4,1.8,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,3,1.1443606999819167,3,0.4,0.30000000000000004,10.81288,return,1.6895796999451704,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,0.85,0.55,3.35,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,2,2,41,,,,,,,,,,,,,,3,0.7179667000309564,3,0.35,0.35,12.61502,return,1.5523202999611385,,,,,,,,,,,,,,,,,p301,23,female,left_right_width,2025-11-11_12h37.09.721,exp1,2023.1.0,59.99044951755282,
