amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,thisRow.t,notes,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,response_width_degree,response_width_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.33242949994747,c,212.3444629999576,,,,,,,,,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,5,1.5064157999586314,5,0.25,0.10000000000000002,3.60429,return,2.949479000060819,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,4,0.45666490006260574,4,0.35,0.10000000000000002,3.60429,return,3.524468799936585,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,3,1.1789547998923808,3,0.45,0.15000000000000008,5.40644,return,5.114894700003788,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,5,1.6815173999639228,5,0.35,0.49999999999999994,18.02146,return,2.782156999921426,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,4,1.409514799946919,4,0.35,0.10000000000000002,3.60429,return,5.559117499971762,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,3,1.5362965000094846,3,0.5,0.05000000000000007,1.80215,return,5.79410659999121,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,4,1.377497800043784,4,0.4,0.30000000000000004,10.81288,return,1.9454570999369025,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,4,1.3164796000346541,4,0.45,0.30000000000000004,10.81288,return,1.9510325000155717,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,3,1.7427510000998154,3,0.35,0.44999999999999996,16.21932,return,3.016065700096078,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,118.91042369999923,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.29999999999999993,0.4,2.5,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,,,0,0,0,0,0,0,0,26,,,,,,,,,,,,,,3,1.312315000104718,3,0.2,0.35,12.61502,return,1.692390000098385,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
,,,,,,,,,,,,,,,,4,8.9,9.633333333333333,10.366666666666667,11.1,0,0.7333333333333333,0.18333333333333326,0.55,2.75,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,3,1.5897244999650866,3,0.2,0.44999999999999996,16.21932,return,2.596439399989322,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
,,,,,,,,,,,,,,,,3,8.525,10,11.475,0,0,1.475,1.225,0.25,3.2,10,match,36.05,307,361,414,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,2,2,45,,,,,,,,,,,,,,3,1.893025299999863,3,0.2,0.15000000000000002,5.40644,return,1.8175471000140533,,,,,,,,,,,,,,,,,p306,28,female,up_down_width,2025-11-25_16h40.51.267,exp1,2023.1.0,59.961708440637544,
