"contrast","correct_width","correct_num","estimate","SE","df","z.ratio","p.value","lower.CL","upper.CL"
"NoRM - RM","0.25","3",-0.0155963122937133,0.0111474018997533,Inf,-1.39909841180647,0.161783473923893,-0.037444818538423,0.00625219395099652
"NoRM - RM","0.4","3",-0.0704701004329865,0.012088871995625,Inf,-5.82933630685226,5.56482536426915e-09,-0.0941638541581264,-0.0467763467078466
"NoRM - RM","0.55","3",-0.0970692620035065,0.0110356765783013,Inf,-8.79595023601609,1.4184244782555e-18,-0.118698790642009,-0.0754397333650037
"NoRM - RM","0.25","4",-0.013263123146897,0.0096552533064509,Inf,-1.37366910281221,0.169544433122922,-0.0321870718891521,0.00566082559535801
"NoRM - RM","0.4","4",-0.0333907488819671,0.0123225993792466,Inf,-2.70971633941155,0.00673407726601948,-0.0575425998612059,-0.00923889790272816
"NoRM - RM","0.55","4",-0.0530156099226457,0.0102973131895143,Inf,-5.14848960567997,2.62592334716916e-07,-0.0731979729116231,-0.0328332469336684
"NoRM - RM","0.25","5",-0.0127029516994505,0.00873928544253808,Inf,-1.45354580565814,0.146072271434463,-0.0298316364174403,0.00442573301853936
"NoRM - RM","0.4","5",-0.0195194373371497,0.0102150109797125,Inf,-1.91085818467705,0.0560228079921699,-0.0395404909590675,0.000501616284768115
"NoRM - RM","0.55","5",-0.0349337256743467,0.00967004356338527,Inf,-3.61257169581117,0.000303175243353121,-0.0538866627875151,-0.0159807885611782
