"rm_type","Median","MAD","CI","CI_low","CI_high","log_BF","level"
"NoRM",-0.0960207539906781,0.0193179724536427,0.95,-0.137411688321988,-0.0573881377832896,1.54751825738193,NA
"RM",-0.00490779162748299,0.0201821982227642,0.95,-0.0467486079377399,0.0364294772247405,-6.40259083982227,NA
