amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.275,0.25,2.35,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,0,0,0,0,0,50,50,25,,,,num_4,1.2767721,num_4,0.55,1.1,0.2,0.5,7.6411,19.10275,return,4.5818126,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.525,10,11.475,0,0,1.475,1.225,0.25,3.2,10,match,36.05,307,361,414,0,0,9,9,9,0,0,,,,,0,0,0,0,0,51,51,45,,,,num_3,1.0852926,num_3,0.2,0.5,0.2,1.6,7.6411,61.12881,return,8.7789064,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1428.249004,1428.249004,1428.249004,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.3,0.4,1.8,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,1,0,1,0,0,0,0,9,,,,num_3,1.2273181,num_3,0.45,1.3,0.55,0.8,21.01303,30.5644,return,4.0035506,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.7,0.4,4.8,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,1,0,1,0,0,1,1,38,,,,num_4,1.0581344,num_4,0.25,0.4,0.6,1.2,22.9233,45.8466,return,3.614884099,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,1,0,1,0,0,2,2,46,,,,num_4,1.4580086,num_4,0.5,0.6,0.55,1,21.01303,38.2055,return,7.2986917,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,0.85,0.55,3.35,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,1,0,1,0,0,3,3,41,,,,num_3,1.1781903,num_3,0.55,1,0.85,1.55,32.47468,59.21853,return,7.2053577,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.15,0.55,2.65,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,1,0,1,0,0,4,4,23,,,,num_3,1.16312,num_3,0.2,1.2,0.75,0.9,28.65413,34.38495,return,6.0894848,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.2,0.4,2.2,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,1,0,1,0,0,5,5,16,,,,num_3,4.0900316,num_3,0.35,1.2,0.3,0.45,11.46165,17.19248,return,6.4968665,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.15,0.55,3.35,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,1,0,1,0,0,6,6,40,,,,num_4,1.1729336,num_4,0.45,0.7,0.55,0.7,21.01303,26.74385,return,5.4864053,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.65,0.25,3.85,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,1,0,1,0,0,7,7,48,,,,num_4,1.1495418,num_4,0.4,0.9,0.15,1,5.73083,38.2055,return,3.704004,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.55,0.55,2.75,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,1,0,1,0,0,8,8,0,,,,num_3,1.3347091,num_3,0.3,0.7,0.45,1.05,17.19248,40.11578,return,5.968332,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.9,9.633333333,10.36666667,11.1,0,0.733333333,0.483333333,0.25,2.45,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,1,0,1,0,0,9,9,3,,,,num_4,1.1736566,num_4,0.3,0.9,0.1,0.7,3.82055,26.74385,return,6.7677543,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.8,0.4,4.8,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,1,0,1,0,0,10,10,39,,,,num_3,1.1281098,num_3,0.35,1.1,0.25,2.1,9.55138,80.23156,return,10.9938398,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.35,0.25,2.05,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,1,0,1,0,0,11,11,14,,,,num_4,1.166179,num_4,0.55,1.2,0.2,0.6,7.6411,22.9233,return,7.064507199,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.05,0.55,2.35,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,1,0,1,0,0,12,12,12,,,,num_3,1.205194,num_3,0.45,1,0.7,0.8,26.74385,30.5644,return,6.8945711,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.7,0.4,3.7,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,1,0,1,0,0,13,13,21,,,,num_4,1.0239246,num_4,0.2,1.1,0.2,0.8,7.6411,30.5644,return,8.094673,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.425,0.25,2.95,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,1,0,1,0,0,14,14,31,,,,num_5,1.260731,num_5,0.45,1,0.25,0.7,9.55138,26.74385,return,8.9315406,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.3,0.4,2.5,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,1,0,1,0,0,15,15,26,,,,num_4,2.1726507,num_4,0.4,0.9,0.25,0.8,9.55138,30.5644,return,7.6362285,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.275,9.1375,10,10.8625,11.725,0.8625,0.6125,0.25,3.7,10,match,36.05,298,329,361,392,423,9,9,9,9,9,,,,,1,0,1,0,0,16,16,22,,,,num_4,1.541009699,num_4,0.35,1.2,0.2,1.6,7.6411,61.12881,return,3.1094124,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.65,0.25,2.05,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,1,0,1,0,0,17,17,13,,,,num_3,0.9995405,num_3,0.5,0.8,0.2,1.55,7.6411,59.21853,return,6.6856891,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.85,0.25,2.45,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,1,0,1,0,0,18,18,2,,,,num_3,1.356087,num_3,0.4,1,0.1,1.7,3.82055,64.94936,return,6.2380274,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.15,0.55,1.95,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,1,0,1,0,0,19,19,6,,,,num_3,0.9247962,num_3,0.25,1,0.55,0.7,21.01303,26.74385,return,9.5898547,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.3,9.766666667,10.23333333,10.7,0,0.466666667,0.066666667,0.4,1.8,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,1,0,1,0,0,20,20,10,,,,num_2,3.2640086,num_2,0.4,1,0.85,1,32.47468,38.2055,return,10.1715725,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.825,0.575,0.25,3.55,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,1,0,1,0,0,21,21,20,,,,num_4,1.2829109,num_4,0.25,0.5,0.15,0.9,5.73083,34.38495,return,6.6185008,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.45,0.25,3.05,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,1,0,1,0,0,22,22,42,,,,num_5,1.6828559,num_5,0.3,0.6,0.2,0.6,7.6411,22.9233,return,9.518526,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.45,0.25,1.65,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,1,0,1,0,0,23,23,7,,,,num_3,2.991698,num_3,0.3,1.2,0.2,0.65,7.6411,24.83358,return,4.7983413,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.525,10,11.475,0,0,1.475,1.225,0.25,3.2,10,match,36.05,307,361,414,0,0,9,9,9,0,0,,,,,1,0,1,0,0,24,24,45,,,,num_3,1.1811651,num_3,0.2,0.7,0.1,1.7,3.82055,64.94936,return,7.2071904,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.85,0.25,4.65,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,1,0,1,0,0,25,25,36,,,,num_4,1.0395418,num_4,0.45,1,0.15,1.6,5.73083,61.12881,return,8.0967946,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.55,0.25,3.85,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,1,0,1,0,0,26,26,49,,,,num_3,2.0363719,num_3,0.45,0.8,0.15,1.1,5.73083,42.02605,return,6.1725365,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.65,0.25,2.95,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,1,0,1,0,0,27,27,30,,,,num_4,1.5974645,num_4,0.5,0.9,0.15,1.2,5.73083,45.8466,return,3.8472527,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,1,0,1,0,0,28,28,32,,,,num_4,0.9862617,num_4,0.3,1.2,0.5,1,19.10275,38.2055,return,4.8150593,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.55,0.55,3.85,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,1,0,1,0,0,29,29,17,,,,num_4,1.5620994,num_4,0.2,0.8,0.55,1.1,21.01303,42.02605,return,4.7255336,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.825,9.608333333,10.39166667,11.175,0,0.783333333,0.533333333,0.25,2.6,10,match,36.05,318,346,375,403,0,9,9,9,9,0,,,,,1,0,1,0,0,30,30,5,,,,num_4,1.3665109,num_4,0.25,1.1,0.15,0.4,5.73083,15.2822,return,3.6157161,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.3,0.4,3.2,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,1,0,1,0,0,31,31,44,,,,num_4,1.0909303,num_4,0.4,0.6,0.55,0.8,21.01303,30.5644,return,4.5259353,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.4,0.4,4,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,1,0,1,0,0,32,32,51,,,,num_4,4.228135,num_4,0.4,0.8,0.2,1.3,7.6411,49.66716,return,6.0377931,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.5,0.4,2.2,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,1,0,1,0,0,33,33,15,,,,num_3,0.9971296,num_3,0.35,0.9,0.35,1.15,13.37193,43.93633,return,10.0226569,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.9,9.633333333,10.36666667,11.1,0,0.733333333,0.183333333,0.55,2.75,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,1,0,1,0,0,34,34,1,,,,num_3,3.9374662,num_3,0.2,0.3,0.55,0.75,21.01303,28.65413,return,5.9482447,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.7,0.4,2.6,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,1,0,1,0,0,35,35,4,,,,num_3,1.544585,num_3,0.35,0.9,0.55,0.9,21.01303,34.38495,return,5.7079381,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.275,0.25,2.35,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,1,0,1,0,0,36,36,25,,,,num_4,1.0512181,num_4,0.2,0.9,0.2,0.6,7.6411,22.9233,return,11.3262083,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.3,9.766666667,10.23333333,10.7,0,0.466666667,0.216666667,0.25,1.65,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,1,0,1,0,0,37,37,8,,,,num_1,1.132864499,num_1,0.55,9999,0.25,9999,9.55138,382016.8345,return,5.642479,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.25,0.55,4.15,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,1,0,1,0,0,38,38,47,,,,num_3,1.2796914,num_3,0.35,1.1,0.2,1.8,7.6411,68.76991,return,11.0817134,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.825,0.275,0.55,3.85,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,1,0,1,0,0,39,39,18,,,,num_4,0.9688544,num_4,0.45,0.7,0.8,1.1,30.5644,42.02605,return,4.5060856,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.5,0.4,4,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,1,0,1,0,0,40,40,50,,,,num_4,1.3487,num_4,0.3,1.3,0.35,0.7,13.37193,26.74385,return,6.3131791,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.45,0.25,2.35,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,1,0,1,0,0,41,41,24,,,,num_4,1.101793,num_4,0.25,0.9,0.4,0.5,15.2822,19.10275,return,4.7166646,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.125,0.4,2.5,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,1,0,1,0,0,42,42,27,,,,num_4,2.0840221,num_4,0.45,0.7,0.35,0.5,13.37193,19.10275,return,6.8784114,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.55,0.55,4.95,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,1,0,1,0,0,43,43,34,,,,num_5,1.1934602,num_5,0.2,1.1,0.5,0.9,19.10275,34.38495,return,5.3379081,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.275,0.4,3.1,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,1,0,1,0,0,44,44,33,,,,num_5,1.3181028,num_5,0.5,1,0.3,0.55,11.46165,21.01303,return,4.4628217,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,1,0,1,0,0,45,45,28,,,,num_4,1.1376778,num_4,0.5,0.9,0.7,1.1,26.74385,42.02605,return,3.4365546,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.65,0.55,4.95,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,1,0,1,0,0,46,46,35,,,,num_3,1.4457706,num_3,0.2,0.7,0.4,2.05,15.2822,78.32128,return,9.2531567,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.95,0.25,4.65,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,1,0,1,0,0,47,47,37,,,,num_3,1.274567,num_3,0.55,0.6,0.15,1.35,5.73083,51.57743,return,10.5822396,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.85,0.25,3.55,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,1,0,1,0,0,48,48,19,,,,num_3,4.7547484,num_3,0.2,0.9,0.15,1.7,5.73083,64.94936,return,11.1223974,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,1.15,0.25,3.05,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,1,0,1,0,0,49,49,43,,,,num_3,1.2469173,num_3,0.45,0.7,0.2,1,7.6411,38.2055,return,22.746519,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,1,0,1,0,0,50,50,11,,,,num_3,1.3982652,num_3,0.4,1.1,0.55,0.8,21.01303,30.5644,return,5.0041305,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.125,0.55,3.25,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,1,0,1,0,0,51,51,29,,,,num_4,1.3084566,num_4,0.45,0.8,0.5,0.6,19.10275,22.9233,return,5.2820186,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,2030.23137,2030.23137,2030.23137,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.55,0.55,3.85,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,2,0,2,0,0,0,0,17,,,,num_3,1.5404552,num_3,0.2,0.9,0.4,1.15,15.2822,43.93633,return,4.2451084,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.425,0.25,2.95,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,2,0,2,0,0,1,1,31,,,,num_4,1.0558113,num_4,0.25,0.6,0.15,0.8,5.73083,30.5644,return,2.8026843,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.3,0.4,2.5,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,2,0,2,0,0,2,2,26,,,,num_4,1.111109,num_4,0.45,1,0.3,0.6,11.46165,22.9233,return,3.1257189,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.4,0.4,4,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,2,0,2,0,0,3,3,51,,,,num_4,1.2416136,num_4,0.4,1,0.2,1.1,7.6411,42.02605,return,3.4316992,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.05,0.55,2.35,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,2,0,2,0,0,4,4,12,,,,num_3,1.4630971,num_3,0.55,0.9,0.55,0.6,21.01303,22.9233,return,2.8404937,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.65,0.25,2.05,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,2,0,2,0,0,5,5,13,,,,num_2,1.9681308,num_2,0.55,1.4,0.15,1.2,5.73083,45.8466,return,4.7049298,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,2,0,2,0,0,6,6,28,,,,num_4,3.9368407,num_4,0.3,1.2,0.55,0.7,21.01303,26.74385,return,5.4696073,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.3,0.4,3.2,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,2,0,2,0,0,7,7,44,,,,num_5,1.3814355,num_5,0.4,0.8,0.3,0.5,11.46165,19.10275,return,2.4702137,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,1.15,0.25,3.05,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,2,0,2,0,0,8,8,43,,,,num_3,1.3253485,num_3,0.45,0.8,0.2,1.5,7.6411,57.30826,return,4.022565,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.45,0.25,1.65,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,2,0,2,0,0,9,9,7,,,,num_3,1.097431,num_3,0.55,0.6,0.1,0.9,3.82055,34.38495,return,4.4893748,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.3,9.766666667,10.23333333,10.7,0,0.466666667,0.066666667,0.4,1.8,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,2,0,2,0,0,10,10,10,,,,num_3,1.0226961,num_3,0.3,0.5,0.45,0.65,17.19248,24.83358,return,7.7306851,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.125,0.55,3.25,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,2,0,2,0,0,11,11,29,,,,num_4,1.1459645,num_4,0.4,0.5,0.65,0.8,24.83358,30.5644,return,3.8677643,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
