amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.259009299988975,c,140.95938820001902,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,num_4,3.2768752000120003,num_4,0.45,1.1,0.30000000000000004,1.0,11.46165,38.2055,return,13.301545500013162,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,num_5,2.7438197000155924,num_5,0.3,1.2,0.35,0.6,13.37193,22.9233,return,22.386313700015307,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,num_3,3.40410030001658,num_3,0.55,1.1,0.30000000000000004,0.6,11.46165,22.9233,return,16.768760700011626,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,num_4,1.4132051000051433,num_4,0.35,1.3,0.3,0.8,11.46165,30.5644,return,8.32934790001309,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,num_3,3.0237550000019837,num_3,0.5,0.8,0.20000000000000007,0.9,7.6411,34.38495,return,7.85932000001776,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,num_3,1.8645411000179593,num_3,0.4,0.6,0.10000000000000007,0.75,3.82055,28.65413,return,5.844924900011392,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,num_3,1.637249100022018,num_3,0.4,0.6,0.20000000000000007,1.3,7.6411,49.66716,return,9.888366000013775,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,num_4,2.5849519000184955,num_4,0.25,0.3,0.25,0.8,9.55138,30.5644,return,4.847495000009076,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,num_5,2.9239220000163186,num_5,0.45,1.2,0.30000000000000004,0.5,11.46165,19.10275,return,11.605394100013655,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,160.19611580000492,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,0.85,0.55,3.35,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,0,0,41,,,,,,,,,,,,num_3,2.1629766000114614,num_3,0.45,0.6,0.35000000000000003,0.7,13.37193,26.74385,return,4.807981100020697,,,,,,,,,,,,,,,,,717,24,female,up_down_width,2024-08-27_15h59.33.664,exp1,2023.1.0,59.91723033728238,
