amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.21623189999082,c,106.30293949999032,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,num_4,3.2153575000120327,num_4,0.4,1.0,0.4,1.0,15.2822,38.2055,return,15.501945600000909,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,num_3,3.196207200002391,num_3,0.25,0.6,0.25,0.8,9.55138,30.5644,return,12.933239999998477,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,num_4,2.151722800001153,num_4,0.25,0.3,0.25,0.9,9.55138,34.38495,return,3.166289400003734,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,num_4,2.1325592000066536,num_4,0.35,0.7,0.10000000000000002,0.3,3.82055,11.46165,return,11.386429299993324,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,num_4,1.9505756000144174,num_4,0.5,0.7,0.5,0.7,19.10275,26.74385,return,4.3656765000050655,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,num_4,2.532448600002681,num_4,0.2,1.3,0.2,0.5,7.6411,19.10275,return,5.102128600003198,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,num_3,1.2696774000069126,num_3,0.25,0.9,0.2,1.2,7.6411,45.8466,return,7.617774900005315,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,num_3,1.7588803999969969,num_3,0.5,0.9,0.10000000000000007,0.7,3.82055,26.74385,return,4.466413100002683,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,,,,,,,,,,,,,,num_3,2.1237721999932546,num_3,0.5,0.6,0.10000000000000007,0.8,3.82055,30.5644,return,8.305033299999195,,,,,,,,,,,,,,,,,718,22,female,left_right_width,2024-08-27_17h19.24.984,exp1,2023.1.0,59.99692815658768,
