amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,85.1082448,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,0.85,0.55,3.35,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,0,0,41,,,,,,,,,,,,num_3,2.7685808,num_3,0.35,1.2,0.25,0.75,9.55138,28.65413,return,8.8983435,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.425,0.25,2.95,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,,,0,0,0,0,0,1,1,31,,,,,,,,,,,,num_4,1.7872,num_4,0.25,0.3,0.2,0.5,7.6411,19.10275,return,8.5289485,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.65,0.25,2.95,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,2,2,30,,,,,,,,,,,,num_4,2.4160188,num_4,0.25,1.1,0.2,0.8,7.6411,30.5644,return,7.6881654,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.9,9.633333333,10.36666667,11.1,0,0.733333333,0.483333333,0.25,2.45,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,num_4,3.9016164,num_4,0.2,0.7,0.2,0.7,7.6411,26.74385,return,1.1611934,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,4,4,28,,,,,,,,,,,,num_4,1.1642756,num_4,0.4,1,0.4,1,15.2822,38.2055,return,1.5433382,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.55,0.55,2.75,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,num_3,1.2118876,num_3,0.2,0.3,0.3,0.55,11.46165,21.01303,return,7.6899719,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.55,0.55,3.85,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,,,0,0,0,0,0,6,6,17,,,,,,,,,,,,num_4,1.1552493,num_4,0.3,1.2,0.3,1.1,11.46165,42.02605,return,2.2714886,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,7,7,32,,,,,,,,,,,,num_4,1.1101908,num_4,0.3,1.3,0.3,0.8,11.46165,30.5644,return,2.5955062,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.95,0.25,4.65,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,8,8,37,,,,,,,,,,,,num_3,1.5389312,num_3,0.35,0.8,0.25,2.05,9.55138,78.32128,return,6.9785827,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.3,0.4,1.8,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,num_3,1.0973354,num_3,0.45,1.2,0.2,0.65,7.6411,24.83358,return,5.9767343,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,10,10,46,,,,,,,,,,,,num_4,1.1216205,num_4,0.55,1.3,0.25,1,9.55138,38.2055,return,5.8237573,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.45,0.25,1.65,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,11,11,7,,,,,,,,,,,,num_3,1.1554256,num_3,0.25,0.7,0.2,0.85,7.6411,32.47468,return,4.4188161,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.15,0.55,2.65,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,,,0,0,0,0,0,12,12,23,,,,,,,,,,,,num_3,1.524771,num_3,0.35,0.6,0.3,0.9,11.46165,34.38495,return,6.3377099,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.825,0.575,0.25,3.55,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,,,0,0,0,0,0,13,13,20,,,,,,,,,,,,num_4,0.9176233,num_4,0.45,1.1,0.15,0.9,5.73083,34.38495,return,3.5283791,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.65,0.25,2.05,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,14,14,13,,,,,,,,,,,,num_3,1.1708358,num_3,0.55,0.6,0.15,0.95,5.73083,36.29523,return,4.7156327,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.3,0.4,2.5,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,,,0,0,0,0,0,15,15,26,,,,,,,,,,,,num_4,1.5459924,num_4,0.3,0.3,0.2,0.8,7.6411,30.5644,return,4.8548838,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,1.15,0.25,3.05,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,16,16,43,,,,,,,,,,,,num_3,4.8053617,num_3,0.45,1.3,0.2,1.2,7.6411,45.8466,return,2.8785953,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.15,0.55,3.35,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,,,0,0,0,0,0,17,17,40,,,,,,,,,,,,num_4,1.2619404,num_4,0.2,1.1,0.3,0.5,11.46165,19.10275,return,4.3468843,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,18,18,11,,,,,,,,,,,,num_3,0.9855039,num_3,0.4,0.8,0.4,0.8,15.2822,30.5644,return,1.1823824,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.35,0.25,2.05,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,,,0,0,0,0,0,19,19,14,,,,,,,,,,,,num_4,0.9918098,num_4,0.5,1.1,0.3,0.7,11.46165,26.74385,return,5.217815,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.2,0.4,2.2,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,,,0,0,0,0,0,20,20,16,,,,,,,,,,,,num_4,1.1133425,num_4,0.25,0.3,0.25,0.6,9.55138,22.9233,return,1.6513226,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.85,0.25,4.65,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,,,0,0,0,0,0,21,21,36,,,,,,,,,,,,num_4,1.4844064,num_4,0.5,0.6,0.25,1.1,9.55138,42.02605,return,6.857905,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.85,0.25,3.55,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,,,0,0,0,0,0,22,22,19,,,,,,,,,,,,num_4,1.5521179,num_4,0.55,0.9,0.25,1.1,9.55138,42.02605,return,5.8979136,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.05,0.55,2.35,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,,,0,0,0,0,0,23,23,12,,,,,,,,,,,,num_4,1.7974823,num_4,0.4,1.3,0.4,0.5,15.2822,19.10275,return,4.2040722,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.8,0.4,4.8,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,24,24,39,,,,,,,,,,,,num_3,1.1165557,num_3,0.45,1,0.2,1.9,7.6411,72.59046,return,6.8793278,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.45,0.25,2.35,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,,,0,0,0,0,0,25,25,24,,,,,,,,,,,,num_4,0.9767571,num_4,0.2,0.5,0.2,0.9,7.6411,34.38495,return,2.6760708,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.5,0.4,4,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,26,26,50,,,,,,,,,,,,num_4,0.9605094,num_4,0.4,0.5,0.2,0.6,7.6411,22.9233,return,8.5046145,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.125,0.55,3.25,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,,,0,0,0,0,0,27,27,29,,,,,,,,,,,,num_4,1.1821817,num_4,0.4,0.8,0.4,0.5,15.2822,19.10275,return,3.3249957,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.7,0.4,4.8,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,,,0,0,0,0,0,28,28,38,,,,,,,,,,,,num_4,1.1144733,num_4,0.25,0.6,0.25,1,9.55138,38.2055,return,2.4428345,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.825,9.608333333,10.39166667,11.175,0,0.783333333,0.533333333,0.25,2.6,10,match,36.05,318,346,375,403,0,9,9,9,9,0,,,,,,,0,0,0,0,0,29,29,5,,,,,,,,,,,,num_4,1.0017389,num_4,0.5,0.8,0.2,1.2,7.6411,45.8466,return,4.7040517,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,9.3,9.766666667,10.23333333,10.7,0,0.466666667,0.066666667,0.4,1.8,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,,,0,0,0,0,0,30,30,10,,,,,,,,,,,,num_4,0.9387886,num_4,0.45,0.9,0.45,0.6,17.19248,22.9233,return,2.3328573,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.25,0.55,4.15,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,31,31,47,,,,,,,,,,,,num_3,1.007663,num_3,0.2,0.9,0.65,1.05,24.83358,40.11578,return,6.452278,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.3,0.4,3.2,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,,,0,0,0,0,0,32,32,44,,,,,,,,,,,,num_4,0.9350292,num_4,0.55,0.7,0.3,0.4,11.46165,15.2822,return,2.9127376,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.65,0.55,4.95,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,33,33,35,,,,,,,,,,,,num_3,1.4439254,num_3,0.4,1.2,0.4,1.35,15.2822,51.57743,return,1.8119736,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.15,0.55,1.95,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,34,34,6,,,,,,,,,,,,num_3,1.0009893,num_3,0.45,1.2,0.45,0.65,17.19248,24.83358,return,5.0816956,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.125,0.4,2.5,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,,,0,0,0,0,0,35,35,27,,,,,,,,,,,,num_4,0.924001,num_4,0.3,1.2,0.3,0.5,11.46165,19.10275,return,3.9840662,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,8.9,9.633333333,10.36666667,11.1,0,0.733333333,0.183333333,0.55,2.75,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,,,0,0,0,0,0,36,36,1,,,,,,,,,,,,num_4,0.7862375,num_4,0.55,1.3,0.55,0.7,21.01303,26.74385,return,2.5607196,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.275,0.25,2.35,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,,,0,0,0,0,0,37,37,25,,,,,,,,,,,,num_5,0.9521341,num_5,0.2,1.1,0.2,0.4,7.6411,15.2822,return,4.1375279,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.275,0.4,3.1,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,,,0,0,0,0,0,38,38,33,,,,,,,,,,,,num_4,0.8924205,num_4,0.35,0.9,0.35,0.5,13.37193,19.10275,return,2.4026966,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.55,0.55,4.95,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,,,0,0,0,0,0,39,39,34,,,,,,,,,,,,num_4,1.1923881,num_4,0.45,1.1,0.45,0.6,17.19248,22.9233,return,1.6385382,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.55,0.25,3.85,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,40,40,49,,,,,,,,,,,,num_3,0.9659117,num_3,0.35,1,0.35,0.6,13.37193,22.9233,return,3.263253,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.825,0.275,0.55,3.85,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,,,0,0,0,0,0,41,41,18,,,,,,,,,,,,num_4,1.0493109,num_4,0.5,1,0.5,0.6,19.10275,22.9233,return,1.5490221,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,8.525,10,11.475,0,0,1.475,1.225,0.25,3.2,10,match,36.05,307,361,414,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,42,42,45,,,,,,,,,,,,num_3,0.8212254,num_3,0.55,0.7,0.2,0.65,7.6411,24.83358,return,5.3095541,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,4,9.3,9.766666667,10.23333333,10.7,0,0.466666667,0.216666667,0.25,1.65,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,,,0,0,0,0,0,43,43,8,,,,,,,,,,,,num_4,0.8717564,num_4,0.4,0.7,0.2,0.4,7.6411,15.2822,return,4.496958,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.5,0.4,2.2,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,44,44,15,,,,,,,,,,,,num_3,0.9631311,num_3,0.5,0.6,0.2,0.5,7.6411,19.10275,return,3.2866002,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,5,8.275,9.1375,10,10.8625,11.725,0.8625,0.6125,0.25,3.7,10,match,36.05,298,329,361,392,423,9,9,9,9,9,,,,,,,0,0,0,0,0,45,45,22,,,,,,,,,,,,num_4,1.0348676,num_4,0.35,0.7,0.2,0.5,7.6411,19.10275,return,2.1442161,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.7,0.4,2.6,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,46,46,4,,,,,,,,,,,,num_3,0.9780988,num_3,0.3,1.2,0.2,0.65,7.6411,24.83358,return,3.4607941,,,,,,,,,,,,,,,,,720,25,male,up_down_width,2024-08-29_10h34.03.935,exp1,2023.1.0,60.1592777
