"","amount_p","posx1_p","posx2_p","posx3_p","posx4_p","posx5_p","center_to_center_p","edge_to_edge_p","w_p","stim_lengt_p","eccentricity_p","line1_p","line2_p","line3_p","line4_p","line5_p","amount","posx1","posx2","posx3","posx4","posx5","center_to_center","edge_to_edge","w","stim_length","eccentricity","trial_type","deg_to_pix_index","posx1_in_pix","posx2_in_pix","posx3_in_pix","posx4_in_pix","posx5_in_pix","line1","line2","line3","line4","line5","posx","setsize_cobdi","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","loop.thisRepN","loop.thisTrialN","loop.thisN","loop.thisIndex","first.thisRepN","first.thisTrialN","first.thisN","first.thisIndex","second.thisRepN","second.thisTrialN","second.thisN","second.thisIndex","key_resp_3.started","key_resp_3.keys","key_resp_3.rt","key_resp.keys","key_resp.rt","response","starting_width_deg","starting_space_deg","response_width_degree","response_spacing_degree","response_width_pixel","response_spacing_pixel","next_5.keys","next_5.rt","key_resp_4.keys","key_resp_4.rt","text_3.started","text_4.started","key_resp_2.started","text_2.started","key_resp_2.keys","key_resp_2.rt","adjusting.started","next.keys","next.rt","text_control2.started","key_resp.started","key_resp.corr","text_bye.started","text_bye.stopped","participant","age","gender","resp_group","date","expName","psychopyVersion","frameRate","...100"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c",180.8084638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.8,8.9,10,11.1,12.2,1.1,0.7,0.4,4.8,10,"initial",36.05,281,321,361,400,440,9,9,9,9,9,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_4",1.79654029999801,"num_4",0.4,0.7,0.3,0.7,11.46165,26.74385,"return",5.92550430000119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.65,9.55,10.45,11.35,0,0.9,0.65,0.25,2.95,10,"initial",36.05,312,344,377,409,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_4",3.39418810000643,"num_4",0.2,0.4,0.15,0.4,5.73083,15.2822,"return",3.38441520000924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.2,9.1,10,10.9,11.8,0.9,0.65,0.25,3.85,10,"initial",36.05,296,328,361,393,425,9,9,9,9,9,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_4",3.89147239999147,"num_4",0.5,0.9,0.35,0.9,13.37193,34.38495,"return",3.45932399999583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.35,9.45,10.55,11.65,0,1.1,0.7,0.4,3.7,10,"initial",36.05,301,341,380,420,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",1.4522588999971,"num_3",0.25,0.5,0.25,0.5,9.55138,19.10275,"return",3.24791199999163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.65,9.325,10,10.675,11.35,0.675,0.425,0.25,2.95,10,"match",36.05,312,336,361,385,409,9,9,9,9,9,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,4,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_4",1.97781640000176,"num_4",0.3,1,0.35,1,13.37193,38.2055,"return",5.87664410000434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,"initial",36.05,312,344,377,409,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,5,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_4",1.70623860000342,"num_4",0.2,0.7,0.4,0.7,15.2822,26.74385,"return",4.25887689999945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9.1,9.7,10.3,10.9,0,0.6,0.05,0.55,2.35,10,"match",36.05,328,350,371,393,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,6,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",3.45414940000046,"num_3",0.2,1,0.85,1,32.47468,38.2055,"return",7.12045570000191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8.2,10,11.8,0,0,1.8,1.25,0.55,4.15,10,"match",36.05,296,361,425,0,0,9,9,9,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,7,7,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",1.91338169999653,"num_3",0.2,1.2,0.6,1.2,22.9233,45.8466,"return",6.08659099999932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.95,9.475,10,10.525,11.05,0.525,0.125,0.4,2.5,10,"match",36.05,323,342,361,379,398,9,9,9,9,9,NA,NA,NA,NA,NA,NA,0,0,0,0,0,8,8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_4",1.66303969999717,"num_4",0.35,1.2,0.55,0.8,21.01303,30.5644,"return",13.5273396999983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8.6,10,11.4,0,0,1.4,0.85,0.55,3.35,10,"match",36.05,310,361,411,0,0,9,9,9,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,9,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",1.88039410000783,"num_3",0.45,0.7,0.55,1.15,21.01303,43.93633,"return",10.5501027999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.9,9.63333333333333,10.3666666666667,11.1,0,0.733333333333333,0.183333333333333,0.55,2.75,10,"match",36.05,321,347,374,400,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",2.20602430000145,"num_3",0.2,0.3,0.55,0.75,21.01303,28.65413,"return",14.9135889000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.95,9.65,10.35,11.05,0,0.7,0.15,0.55,2.65,10,"initial",36.05,323,348,373,398,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,11,11,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",1.58274219998566,"num_3",0.5,0.9,0.65,0.8,24.83358,30.5644,"return",3.72419439999794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.35,9.175,10,10.825,11.65,0.825,0.575,0.25,3.55,10,"match",36.05,301,331,361,390,420,9,9,9,9,9,NA,NA,NA,NA,NA,NA,0,0,0,0,0,12,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",2.08512899999914,"num_3",0.45,0.6,0.15,0.85,5.73083,32.47468,"return",10.8142959999968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.825,9.60833333333333,10.3916666666667,11.175,0,0.783333333333333,0.533333333333333,0.25,2.6,10,"match",36.05,318,346,375,403,0,9,9,9,9,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,13,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"num_3",1.91749349999009,"num_3",0.55,0.6,0.2,0.9,7.6411,34.38495,"return",10.1392682000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,21,"female","left_right_width","2024-08-27_12h59.14.923","exp1","2023.1.0",60.0698371965243,NA
