amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.478780599980382,c,116.59114889998455,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,num_2,6.10729449999053,num_2,0.55,1.0,0.10000000000000007,0.9,3.82055,34.38495,return,21.734911900013685,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,num_3,3.0427908999845386,num_3,0.55,0.7,0.15000000000000008,0.7,5.73083,26.74385,return,8.008544300013455,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,num_5,1.8563787999737542,num_5,0.2,0.7,0.35,0.7,13.37193,26.74385,return,2.5490031999943312,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,num_3,2.444537500006845,num_3,0.45,0.9,0.35000000000000003,1.5,13.37193,57.30826,return,6.473507699993206,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,num_4,2.008137600001646,num_4,0.2,0.8,0.10000000000000002,0.7,3.82055,26.74385,return,5.622582100011641,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,num_4,2.2785460999875795,num_4,0.4,1.0,0.20000000000000007,0.7,7.6411,26.74385,return,6.97068150000996,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,num_5,1.5806495000142604,num_5,0.3,0.6,0.25,0.45,9.55138,17.19248,return,4.012117400008719,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,num_5,2.1249764999956824,num_5,0.35,0.4,0.25,0.4,9.55138,15.2822,return,6.711385900009191,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,num_4,2.0199507999932393,num_4,0.55,1.0,0.4,0.9,15.2822,34.38495,return,7.298262199998135,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,63.388117700000294,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.29999999999999993,0.4,2.5,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,,,0,0,0,0,0,0,0,26,,,,,,,,,,,,num_4,3.1456612999900244,num_4,0.3,0.7,0.25,0.6,9.55138,22.9233,return,5.386541399988346,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.8250000000000001,0.275,0.55,3.85,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,,,0,0,0,0,0,1,1,18,,,,,,,,,,,,num_5,1.4306093000050168,num_5,0.55,0.8,0.55,0.8,21.01303,30.5644,return,4.349167400010629,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.9500000000000002,0.25,4.65,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,2,2,37,,,,,,,,,,,,num_2,2.325518799974816,num_2,0.3,1.2,0.2,2.9,7.6411,110.79596,return,8.455814800021471,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.04999999999999997,0.55,2.35,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,,,0,0,0,0,0,3,3,12,,,,,,,,,,,,num_4,1.2762635999824852,num_4,0.35,0.5,0.6,0.7,22.9233,26.74385,return,6.040144300000975,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,4,9.3,9.766666666666667,10.233333333333333,10.7,0,0.4666666666666667,0.21666666666666665,0.25,1.65,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,num_4,1.3280067000014242,num_4,0.25,0.8,0.25,0.5,9.55138,19.10275,return,2.154027699987637,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.44999999999999996,0.25,1.65,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,num_3,1.5203228000027593,num_3,0.3,0.6,0.2,0.55,7.6411,21.01303,return,5.618255099980161,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,4,8.9,9.633333333333333,10.366666666666667,11.1,0,0.7333333333333334,0.4833333333333334,0.25,2.45,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,num_4,1.3871664000034798,num_4,0.45,0.7,0.10000000000000007,0.7,3.82055,26.74385,return,3.2357899000053294,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,4,8.825,9.608333333333333,10.391666666666667,11.175,0,0.7833333333333333,0.5333333333333333,0.25,2.6,10,match,36.05,318,346,375,403,0,9,9,9,9,0,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,num_5,3.630513300013263,num_5,0.45,1.2,0.15000000000000008,0.75,5.73083,28.65413,return,6.925219500000821,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.55,0.55,3.8500000000000005,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,,,0,0,0,0,0,8,8,17,,,,,,,,,,,,num_5,1.1661732000065967,num_5,0.35,0.4,0.35,1.05,13.37193,40.11578,return,7.1274044000019785,,,,,,,,,,,,,,,,,706,23,male,up_down_width,2024-05-19_16h21.25.132,exp1,2023.1.0,60.063883947441624,
