amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.7215882000164,c,125.50150840001879,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,num_3,3.850703499978408,num_3,0.35,0.6,0.25,0.6,9.55138,22.9233,return,9.76899010001216,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,num_4,2.826228699996136,num_4,0.5,1.1,0.20000000000000007,0.7,7.6411,26.74385,return,5.628561899997294,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,num_4,2.9474909999989904,num_4,0.2,0.3,0.15000000000000002,0.4,5.73083,15.2822,return,7.080748600012157,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,num_5,1.8440186000079848,num_5,0.2,0.6,0.25,0.6,9.55138,22.9233,return,2.1694275999907404,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,num_4,3.338440699968487,num_4,0.2,0.5,0.25,0.5,9.55138,19.10275,return,1.4879116999800317,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,num_4,2.071984499983955,num_4,0.5,1.1,6.938893903907228e-17,1.0,0.0,38.2055,return,4.305603599990718,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,num_3,1.6100302999839187,num_3,0.4,1.1,0.10000000000000007,1.0,3.82055,38.2055,return,3.8447394999675453,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,num_4,1.8347094999626279,num_4,0.45,0.9,0.55,0.9,21.01303,34.38495,return,3.819751500035636,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,num_4,2.639340900001116,num_4,0.55,1.2,0.55,0.9,21.01303,34.38495,return,1.9878371999948286,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,24.467050299979746,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.1499999999999999,0.55,1.95,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,num_3,1.7994157999637537,num_3,0.35,0.4,0.35,0.45,13.37193,17.19248,return,1.448705399991013,,,,,,,,,,,,,,,,,708,23,male,left_right_width,2024-05-23_12h45.23.640,exp1,2023.1.0,60.00085200461607,
